Cites;Class BWL;Class VWL;IF 5 years;IF;Number of Records;SJR;alt_score;country;discipline;doi;name (academ_status_final);name;news;online_issn;policy;print_issn;publisher (publisher_main_country);publisher;status
3406;A+;A+;5,49;4,47;1;13,636;4,0556;United States;Business, Management and Accounting;101080;Journal of Financial Economics; Journal of Financial Economics ;144; 1879-2774;152;0304-405X;Journal of Financial Economics;Journal of Financial Economics;Unspecified
1715;A+;A;2,04;1,31;1;6,08;8,9698;United States;Business, Management and Accounting;42177;Management Science; Management Science ;611; 1526-5501;89;0025-1909;Management Science;Management Science;Researcher
755;C;C;1,21;0,71;1;1,814;1,7188;United States;Economics, Econometrics and Finance;7378;Games and Economic Behavior; Games and Economic Behavior ;29; 1090-2473;8;0899-8256;Games and Economic Behavior;Games and Economic Behavior;Professor > Associate Professor
485;A+;;1,4;1,34;1;8,835;6,4332;United States;Business, Management and Accounting;34342;Strategic Management Journal; Strategic Management Journal ;299; 1097-0266;31;0143-2095;Strategic Management Journal;Strategic Management Journal;Student  > Ph. D. Student
917;B;B;2,12;2,01;1;3,106;16,3953;Germany;Business, Management and Accounting;13838;Journal of Health Economics; Journal of Health Economics ;556; 1879-1646;187;0167-6296;Journal of Health Economics;Journal of Health Economics;Other
448;A;A;2,37;1,3;1;6,606;2,4358;United States;Economics, Econometrics and Finance;32529;Journal of Accounting and Economics; Journal of Accounting and Economics ;29; ;10;0165-4101;Journal of Accounting and Economics;Journal of Accounting and Economics;Student  > Doctoral Student
388;A;A;2,31;2,29;1;10,151;6,5846;United States;Unspecified;9713;Journal of Accounting Research; Journal of Accounting Research ;72; 1475-679X;16;0021-8456;Journal of Accounting Research;Journal of Accounting Research;Student  > Doctoral Student
1553;A;B;2,07;1,62;1;4,485;2,1574;United States;Economics, Econometrics and Finance;16776;Journal of Econometrics; Journal of Econometrics ;15; ;184;0304-4076;Journal of Econometrics;Journal of Econometrics;Student  > Ph. D. Student
1685;A;A;5,15;4,4;1;7,248;3,5188;United States;Economics, Econometrics and Finance;19022;Journal of Monetary Economics; Journal of Monetary Economics ;18; 1873-1295;78;0304-3932;Journal of Monetary Economics;Journal of Monetary Economics;Student  > Ph. D. Student
553;A;B;0,79;0,45;1;4,472;4,4196;United States;Business, Management and Accounting;8365;Journal of the American Statistical Association; Journal of the American Statistical Association ;83; 1537-274X;56;0162-1459;Journal of the American Statistical Association;Journal of the American Statistical Association;Other
133;B;;0,47;0,18;1;3,476;5,5544;Germany;Social Sciences;1336;Information Systems Research; Information Systems Research ;140; 1526-5536;10;1047-7047;Information Systems Research;Information Systems Research;Professor
981;B;B;1,57;1,23;1;3,467;1,6667;Brazil;Economics, Econometrics and Finance;9775;Journal of Economic Theory; Journal of Economic Theory ;9; 1095-7235;28;0022-0531;Journal of Economic Theory;Journal of Economic Theory;Other
1694;C;C;2,87;2,7;1;2,21;5,8575;Brazil;Business, Management and Accounting;24012;European Economic Review; European Economic Review ;84; ;86;0014-2921;European Economic Review;European Economic Review;Student  > Ph. D. Student
1362;C;C;0,71;0,5;1;1,684;26,6349;United States;Business, Management and Accounting;220730;Journal of Business Research; Journal of Business Research ;135; ;6;0148-2963;Journal of Business Research;Journal of Business Research;Student  > Ph. D. Student
