;jornal_name;country;discipline;academic_status;alt_score;policy;news;doi;IF;IF 5 years;Cites;SJR;Class BWL;Class VWL
0; Journal of Financial Economics ;United States;Business, Management and Accounting;Unspecified;0,15;0,81;0,24;0,46;1;1;1;1;1;1
0; Management Science ;United States;Business, Management and Accounting;Researcher;0,34;0,48;1;0,19;0,29;0,37;0,5;0,45;1;0,84
0; Games and Economic Behavior ;United States;Economics, Econometrics and Finance;Professor > Associate Professor;0,06;0,04;0,05;0,03;0,16;0,22;0,22;0,13;0,2;0,2
0; Strategic Management Journal ;United States;Business, Management and Accounting;Student  > Ph. D. Student;0,24;0,17;0,49;0,16;0,3;0,26;0,14;0,65;1;0
0; Journal of Health Economics ;Germany;Business, Management and Accounting;Other;0,62;1;0,91;0,06;0,45;0,39;0,27;0,23;0,52;0,52
0; Journal of Accounting Research ;United States;Unspecified;Professor > Associate Professor;0,25;0,09;0,12;0,04;0,51;0,42;0,11;0,74;0,84;0,84
0; Journal of Accounting and Economics ;United States;Economics, Econometrics and Finance;Student  > Doctoral Student;0,09;0,05;0,05;0,15;0,29;0,43;0,13;0,48;0,84;0,84
0; Journal of Econometrics ;United States;Economics, Econometrics and Finance;Student  > Ph. D. Student;0,08;0,98;0,02;0,08;0,36;0,38;0,46;0,33;0,84;0,52
0; Journal of Monetary Economics ;United States;Economics, Econometrics and Finance;Student  > Ph. D. Student;0,13;0,42;0,03;0,09;0,98;0,94;0,49;0,53;0,84;0,84
0; Journal of the American Statistical Association ;United States;Unspecified;Other;0,17;0,3;0,14;0,04;0,1;0,14;0,16;0,33;0,84;0,52
0; Information Systems Research ;Germany;Social Sciences;Professor;0,21;0,05;0,23;0,01;0,04;0,09;0,04;0,25;0,52;0
0; Journal of Economic Theory ;Brazil;Economics, Econometrics and Finance;Other;0,06;0,15;0,01;0,04;0,28;0,29;0,29;0,25;0,52;0,52
0; European Economic Review ;Brazil;Business, Management and Accounting;Student  > Ph. D. Student;0,22;0,46;0,14;0,11;0,6;0,52;0,5;0,16;0,2;0,2
0; Journal of Business Research ;United States;Business, Management and Accounting;Student  > Ph. D. Student;1;0,03;0,22;1;0,11;0,13;0,4;0,12;0,2;0,2
0;Journal of Quality Technology;Unspecified;Mathematics;Unspecified;0,03;0;0;0,01;0;0;0;0;0;0
0;Astin Bulletin;Unspecified;Environmental Science;Unspecified;0,02;0,01;0;0;0;0;0;0;0;0
0;Discrete Event Dynamic Systems;Unspecified;Unspecified;Unspecified;0,02;0,01;0;0;0;0;0;0;0;0
0;Journal of the Association for Information Systems;Unspecified;Social Sciences;Unspecified;0,07;0,01;0;0,04;0;0;0;0;0;0
0;Flexible Services and Manufacturing Journal;Unspecified;Economics, Econometrics and Finance;Unspecified;0,01;0;0;0,01;0;0;0;0;0;0
0;IISE Transactions;Unspecified;Psychology;Unspecified;0,02;0;0;0;0;0;0;0;0;0
0;Finance & Stochastics;Unspecified;Unspecified;Unspecified;0,02;0;0;0,01;0;0;0;0;0;0
0;Engineering Construction & Architectural Management;Unspecified;Unspecified;Unspecified;0,01;0,02;0;0,04;0;0;0;0;0;0
0;Concurrent Engineering: Research & Applications;Unspecified;Unspecified;Unspecified;0,03;0;0;0,01;0;0;0;0;0;0

